,3LargestGFA,ListOfAllPropertyUseTypes,FirstUseType,SecondLargestPropertyUseType,YearBuilt,NumberofFloors,NumberofBuildings,Latitude,Longitude,Neighborhood,SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),SteamUse(kBtu)
0,88434.0,Hotel,Hotel,,1927,12,1.0,47.6122,-122.33799,DOWNTOWN,7226362.5,3946027.0,1276453.0,2003882.0
1,103566.0,"Hotel, Parking, Restaurant",Hotel,Parking,1996,11,1.0,47.61317,-122.33393,DOWNTOWN,8387933.0,3242851.0,5145082.0,0.0
2,756493.0,Hotel,Hotel,,1969,41,1.0,47.61393,-122.3381,DOWNTOWN,72587024.0,49526664.0,1493800.0,21566554.0
3,61320.0,Hotel,Hotel,,1926,10,1.0,47.61412,-122.33664,DOWNTOWN,6794584.0,2768924.0,1811213.0,2214446.25
4,191454.0,"Hotel, Parking, Swimming Pool",Hotel,Parking,1980,18,1.0,47.61375,-122.34047,DOWNTOWN,14172606.0,5368607.0,8803998.0,0.0
5,88830.0,Police Station,Police Station,,1999,2,1.0,47.61623,-122.33657,DOWNTOWN,12086616.0,7371434.0,4715182.0,0.0
6,81352.0,Hotel,Hotel,,1926,11,1.0,47.6139,-122.33283,DOWNTOWN,5758795.0,2811215.0,2947580.0,0.0
7,102761.0,Other - Entertainment/Public Assembly,Other,,1926,8,1.0,47.61327,-122.33136,DOWNTOWN,6298131.5,3636655.0,385189.0,2276286.5
8,163984.0,Hotel,Hotel,,1904,15,1.0,47.60294,-122.33263,DOWNTOWN,13723820.0,7297919.0,6425900.0,0.0
10,133884.0,Hotel,Hotel,,1969,11,1.0,47.60695,-122.33414,DOWNTOWN,16016644.0,6187627.0,4591850.0,5237165.5
11,336640.0,Hotel,Hotel,,1998,25,1.0,47.60713,-122.33323,DOWNTOWN,26941110.0,18083049.0,2858700.0,5999360.5
12,65009.0,Hotel,Hotel,,1928,9,1.0,47.60699,-122.33346,DOWNTOWN,6596057.5,1343000.0,3596705.0,1656352.5
13,353111.0,"Hotel, Parking",Hotel,Parking,1980,33,1.0,47.60809,-122.33212,DOWNTOWN,22325364.0,13904183.0,4083440.0,4337738.5
14,92590.0,"Hotel, Parking",Hotel,Parking,1922,11,1.0,47.60755,-122.33244,DOWNTOWN,10750010.0,3832369.0,2046793.0,4870847.5
15,414987.0,"Data Center, Library, Parking",Library,Parking,2004,11,1.0,47.60649,-122.33297,DOWNTOWN,18588860.0,17851297.0,0.0,737559.5
16,130000.0,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,Office,1930,6,1.0,47.60546,-122.33279,DOWNTOWN,9956396.0,4453868.0,910180.0,4592347.5
17,433329.0,"Hotel, Parking",Hotel,Parking,1983,28,1.0,47.60681,-122.33078,DOWNTOWN,33556756.0,21225277.0,12331475.0,0.0
18,41688.0,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Mixed Use Property,Restaurant,1907,5,1.0,47.60515,-122.33159,DOWNTOWN,7606084.5,3764791.0,2065091.0,1776201.875
19,104352.0,Hotel,Hotel,,1916,10,1.0,47.60376,-122.33194,DOWNTOWN,10154608.0,5908370.0,815376.0,3430862.0
20,537150.0,Courthouse,Courthouse,,1916,10,1.0,47.60265,-122.33051,DOWNTOWN,44984468.0,24357833.0,20626631.0,0.0
21,385274.0,Other,Other,,1985,19,1.0,47.60378,-122.32842,DOWNTOWN,47859812.0,18257661.0,29602150.0,0.0
22,58916.0,K-12 School,K-12 School,,1961,2,1.0,47.54576,-122.26853,SOUTHEAST,1539478.5,936955.0,602523.0,0.0
23,88592.0,"Hotel, Parking",Hotel,Parking,2001,6,1.0,47.65959,-122.31755,NORTHEAST,3663534.5,2266231.0,1397303.0,0.0
24,125000.0,College/University,University,,1928,7,1.0,47.61816,-122.33629,DOWNTOWN,11343686.0,4647474.0,6696211.0,0.0
25,67224.0,Automobile Dealership,Automobile Dealership,,1930,2,1.0,47.615,-122.33081,DOWNTOWN,1310236.625,1310236.0,0.0,0.0
26,159176.0,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,Parking,1991,8,1.0,47.61301,-122.32929,EAST,5328051.5,572307.0,4755745.0,0.0
27,128909.0,Hotel,Hotel,,2001,10,1.0,47.61784,-122.32966,DOWNTOWN,11061916.0,5610706.0,5451210.0,0.0
29,47994.0,Hotel,Hotel,,1978,5,1.0,47.61558,-122.34186,DOWNTOWN,4456714.5,2346349.0,2110365.0,0.0
30,164229.0,K-12 School,K-12 School,,1949,2,1.0,47.70994,-122.29301,NORTH,6779173.0,1947601.0,4831572.0,0.0
31,55166.0,K-12 School,K-12 School,,1989,2,1.0,47.6329,-122.35172,MAGNOLIA / QUEEN ANNE,1496816.0,1496816.0,0.0,0.0
32,63403.0,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Small- and Mid-Sized Office,K-12 School,1906,3,1.0,47.6641,-122.33118,LAKE UNION,4145920.5,1352843.0,2793077.0,0.0
33,81871.0,Hotel,Hotel,,1994,4,1.0,47.66583,-122.29965,NORTHEAST,6668568.5,3016399.0,3652169.0,0.0
34,26225.0,Self-Storage Facility,Self-Storage Facility,,1955,2,1.0,47.66172,-122.29598,NORTHEAST,318364.8125,281265.0,37100.0,0.0
35,1856706.0,"Energy/Power Station, Laboratory, Manufacturing/Industrial Plant, Non-Refrigerated Warehouse, Office",Mixed Use Property,Laboratory,1992,3,1.0,47.53493,-122.31788,GREATER DUWAMISH,448385312.0,150476283.0,297909000.0,0.0
36,963000.0,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Warehouse,Refrigerated Warehouse,1961,2,3.0,47.51138,-122.28875,GREATER DUWAMISH,44731160.0,44731153.0,0.0,0.0
37,54986.0,K-12 School,K-12 School,,1990,2,1.0,47.65671,-122.39047,MAGNOLIA / QUEEN ANNE,1650279.25,1217589.0,432690.0,0.0
38,182861.0,K-12 School,K-12 School,,1950,2,1.0,47.68252,-122.29498,NORTHEAST,6399127.5,1599684.0,4799443.0,0.0
39,94900.0,"Non-Refrigerated Warehouse, Office",Small- and Mid-Sized Office,Non-Refrigerated Warehouse,1961,2,1.0,47.66587,-122.38476,BALLARD,6186461.5,4291585.0,1894876.0,0.0
40,58878.0,"Office, Other - Education",Small- and Mid-Sized Office,Other - Education,1900,2,1.0,47.58034,-122.31132,GREATER DUWAMISH,2951331.25,1579749.0,1371582.0,0.0
41,175015.0,K-12 School,K-12 School,,1954,3,1.0,47.68891,-122.33553,NORTHWEST,6994740.5,2679739.0,4315001.0,0.0
42,70495.0,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,Vocational School,1911,3,1.0,47.61351,-122.35129,DOWNTOWN,2158629.0,1500229.0,658400.0,0.0
43,348630.0,Hotel,Hotel,,1969,24,1.0,47.60946,-122.33337,DOWNTOWN,16163194.0,12204406.0,3958787.0,0.0
44,169531.0,"Data Center, Office, Retail Store",Large Office,Retail Store,1973,5,1.0,47.6113,-122.33659,DOWNTOWN,9536161.0,9536160.0,0.0,0.0
45,57428.0,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other,"Personal Services (Health/Beauty, Dry Cleaning, etc)",1920,2,1.0,47.61076,-122.33765,DOWNTOWN,1247362.0,714939.0,532423.0,0.0
46,39940.0,"Office, Retail Store",Small- and Mid-Sized Office,Retail Store,1910,8,1.0,47.61048,-122.33794,DOWNTOWN,5071974.0,5071973.0,0.0,0.0
47,52459.0,"Office, Other - Entertainment/Public Assembly, Restaurant",Mixed Use Property,Restaurant,1926,2,1.0,47.60886,-122.33744,DOWNTOWN,15026196.0,4632459.0,10393737.0,0.0
48,98634.0,"Hotel, Parking, Restaurant",Hotel,Parking,1930,20,1.0,47.61233,-122.33432,DOWNTOWN,4841347.5,4290059.0,551288.0,0.0
49,1111880.0,"Hotel, Parking, Swimming Pool",Hotel,Parking,1982,34,1.0,47.61087,-122.33339,DOWNTOWN,80469216.0,45545529.0,23324992.0,11598686.0
50,64674.0,"Hotel, Parking, Restaurant, Retail Store",Hotel,Parking,1985,7,1.0,47.60997,-122.34138,DOWNTOWN,5348309.0,3243900.0,2104408.0,0.0
51,122810.0,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,Other - Entertainment/Public Assembly,1908,7,1.0,47.61155,-122.34114,DOWNTOWN,5401277.5,1293561.0,4107716.0,0.0
52,113173.0,"Hotel, Parking",Hotel,Parking,1959,5,1.0,47.61986,-122.34413,LAKE UNION,5284343.5,2944680.0,2339663.0,0.0
53,110547.0,Hotel,Hotel,Restaurant,2000,7,1.0,47.62001,-122.34274,LAKE UNION,6715187.0,3396109.0,3319078.0,0.0
54,116790.0,Hotel,Hotel,Parking,1997,6,1.0,47.62025,-122.34314,LAKE UNION,5827595.5,3188457.0,2639138.0,0.0
55,155602.0,Hotel,Hotel,,1998,6,1.0,47.62023,-122.35951,MAGNOLIA / QUEEN ANNE,6836900.0,4558937.0,2277962.0,0.0
56,56072.0,K-12 School,K-12 School,,1911,3,1.0,47.63442,-122.30793,EAST,3234787.75,551867.0,2682920.0,0.0
57,122942.0,"Hotel, Parking",Hotel,Parking,1999,4,1.0,47.62519,-122.34456,MAGNOLIA / QUEEN ANNE,5337334.0,2423730.0,2913604.0,0.0
58,54984.0,Office,Small- and Mid-Sized Office,,1962,2,1.0,47.60823,-122.30956,CENTRAL,3375211.0,1978230.0,1396981.0,0.0
59,296313.0,"Parking, Senior Care Community",Senior Care Community,Parking,1922,5,1.0,47.55837,-122.37751,SOUTHWEST,42792072.0,11824772.0,30967300.0,0.0
60,93397.0,Senior Care Community,Senior Care Community,,1970,2,1.0,47.72426,-122.35599,NORTHWEST,16402563.0,5679498.0,10723064.0,0.0
61,84103.0,"Hotel, Parking",Hotel,Parking,2008,6,1.0,47.61988,-122.33211,LAKE UNION,3706100.25,2812688.0,893412.0,0.0
62,65568.0,K-12 School,K-12 School,,1948,2,1.0,47.5097,-122.37759,SOUTHWEST,600813.0,600813.0,0.0,0.0
63,179014.0,Medical Office,Medical Office,,1965,3,1.0,47.61244,-122.3214,EAST,16701055.0,9886484.0,6814570.0,0.0
64,76631.0,Hotel,Hotel,,1908,7,1.0,47.60898,-122.32693,EAST,7258758.5,2660742.0,4598016.0,0.0
65,78062.0,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Mixed Use Property,Parking,1983,6,1.0,47.60845,-122.32637,EAST,15473117.0,10145313.0,0.0,5327802.5
66,72072.0,Retail Store,Retail Store,,1929,2,1.0,47.62237,-122.33805,LAKE UNION,1049748.625,361803.0,687945.0,0.0
67,427691.0,"Office, Other, Parking, Retail Store",Large Office,Parking,2010,5,1.0,47.62424,-122.33646,LAKE UNION,13795954.0,12871091.0,924861.0,0.0
68,287325.0,"Hotel, Parking",Hotel,Parking,1990,7,1.0,47.62642,-122.33325,LAKE UNION,19459304.0,10980652.0,8478651.0,0.0
69,368000.0,Other,Other,,1962,1,1.0,47.62208,-122.35398,MAGNOLIA / QUEEN ANNE,23658978.0,14419146.0,688680.0,6093150.0
70,65000.0,Other,Other,,1962,1,1.0,47.62208,-122.35398,MAGNOLIA / QUEEN ANNE,8141155.5,3754115.0,0.0,4120130.0
71,278500.0,Other,Other,,1938,5,1.0,47.62208,-122.35398,MAGNOLIA / QUEEN ANNE,20955026.0,7252325.0,0.0,9763690.0
